2026-02-06 10:57:58 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=AEROUSDT&interval=1h&limit=500 HTTP/1.1" 200 None
2026-02-06 10:57:58 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 10:57:59 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=ETHUSDT&interval=1h&limit=500 HTTP/1.1" 200 None
2026-02-06 10:59:00 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 10:59:18 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=AEROUSDT&interval=1h&limit=500 HTTP/1.1" 200 None
2026-02-06 10:59:18 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 10:59:19 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=ETHUSDT&interval=1h&limit=500 HTTP/1.1" 200 None
2026-02-06 11:00:20 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:00:21 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=AEROUSDT&interval=1h&limit=500 HTTP/1.1" 200 None
2026-02-06 11:00:23 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:00:24 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=ETHUSDT&interval=1h&limit=500 HTTP/1.1" 200 None
2026-02-06 11:01:25 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:01:25 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=AEROUSDT&interval=1h&limit=500 HTTP/1.1" 200 None
2026-02-06 11:01:25 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:01:27 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=ETHUSDT&interval=1h&limit=500 HTTP/1.1" 200 None
2026-02-06 11:02:27 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:02:28 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=AEROUSDT&interval=1h&limit=500 HTTP/1.1" 200 None
2026-02-06 11:02:28 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:02:30 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=ETHUSDT&interval=1h&limit=500 HTTP/1.1" 200 None
2026-02-06 11:03:30 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:03:32 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=AEROUSDT&interval=1h&limit=500 HTTP/1.1" 200 None
2026-02-06 11:03:32 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:03:33 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=ETHUSDT&interval=1h&limit=500 HTTP/1.1" 200 None
2026-02-06 11:04:33 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:04:35 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=AEROUSDT&interval=1h&limit=500 HTTP/1.1" 200 None
2026-02-06 11:04:35 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:04:36 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=ETHUSDT&interval=1h&limit=500 HTTP/1.1" 200 None
2026-02-06 11:05:36 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:05:37 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=AEROUSDT&interval=1h&limit=500 HTTP/1.1" 200 None
2026-02-06 11:05:39 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:05:46 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=ETHUSDT&interval=1h&limit=500 HTTP/1.1" 200 None
2026-02-06 11:06:46 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:06:47 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=AEROUSDT&interval=1h&limit=500 HTTP/1.1" 200 None
2026-02-06 11:06:47 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:06:49 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=ETHUSDT&interval=1h&limit=500 HTTP/1.1" 200 None
2026-02-06 11:07:49 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:08:00 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=AEROUSDT&interval=1h&limit=500 HTTP/1.1" 200 None
2026-02-06 11:08:00 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:08:09 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=ETHUSDT&interval=1h&limit=500 HTTP/1.1" 200 None
2026-02-06 11:08:29 | INFO     | backpack_quant_trading.core.binance_monitor:342 | 币种监视已停止
2026-02-06 11:22:58 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:23:00 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/exchangeInfo HTTP/1.1" 200 None
2026-02-06 11:23:00 | INFO     | backpack_quant_trading.core.binance_monitor:97 | 币种列表已缓存，共 544 个 USDT 永续合约
2026-02-06 11:25:02 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.deepseek.com:443
2026-02-06 11:25:02 | DEBUG    | urllib3.connectionpool:475 | https://api.deepseek.com:443 "POST /v1/chat/completions HTTP/1.1" 200 None
2026-02-06 11:27:35 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.deepseek.com:443
2026-02-06 11:27:36 | DEBUG    | urllib3.connectionpool:475 | https://api.deepseek.com:443 "POST /v1/chat/completions HTTP/1.1" 200 None
2026-02-06 11:33:05 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:33:22 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=ETHUSDT&interval=15m&limit=800 HTTP/1.1" 200 None
2026-02-06 11:33:22 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.deepseek.com:443
2026-02-06 11:33:23 | DEBUG    | urllib3.connectionpool:475 | https://api.deepseek.com:443 "POST /v1/chat/completions HTTP/1.1" 200 None
2026-02-06 11:35:14 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:35:25 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=ETHUSDT&interval=15m&limit=800 HTTP/1.1" 200 None
2026-02-06 11:35:25 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.deepseek.com:443
2026-02-06 11:35:26 | DEBUG    | urllib3.connectionpool:475 | https://api.deepseek.com:443 "POST /v1/chat/completions HTTP/1.1" 200 None
2026-02-06 11:42:37 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:42:39 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=ETHUSDT&interval=15m&limit=800 HTTP/1.1" 200 None
2026-02-06 11:42:39 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.deepseek.com:443
2026-02-06 11:42:40 | DEBUG    | urllib3.connectionpool:475 | https://api.deepseek.com:443 "POST /v1/chat/completions HTTP/1.1" 200 None
2026-02-06 11:45:22 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-02-06 11:45:24 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/exchangeInfo HTTP/1.1" 200 None
2026-02-06 11:45:24 | INFO     | backpack_quant_trading.core.binance_monitor:147 | 币种列表已缓存，共 544 个 USDT 永续合约
2026-02-06 13:38:29 | ERROR    | asyncio:1865 | Task was destroyed but it is pending!
task: <Task pending name='Task-17' coro=<RequestResponseCycle.run_asgi() running at C:\Users\A1\AppData\Roaming\Python\Python313\site-packages\uvicorn\protocols\http\h11_impl.py:410> cb=[set.discard()]>
2026-02-06 13:38:30 | ERROR    | asyncio:1865 | Task was destroyed but it is pending!
task: <Task pending name='Task-16' coro=<RequestResponseCycle.run_asgi() running at C:\Users\A1\AppData\Roaming\Python\Python313\site-packages\uvicorn\protocols\http\h11_impl.py:410> cb=[set.discard()]>
2026-02-06 13:38:30 | ERROR    | asyncio:1865 | Task was destroyed but it is pending!
task: <Task pending name='Task-18' coro=<RequestResponseCycle.run_asgi() running at C:\Users\A1\AppData\Roaming\Python\Python313\site-packages\uvicorn\protocols\http\h11_impl.py:410> cb=[set.discard()]>
