交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
31,多头出场,2024-06-18 16:02,卖,2315.04,1575.8,3660756.738,-12716.71,-0.35,4002.53,0.11,-13394.3,-0.37,140720.28,7.04
31,多头进场,2024-06-18 08:02,买 ,2323.11,1575.8,3660756.738,-12716.71,-0.35,4002.53,0.11,-13394.3,-0.37,140720.28,7.04
32,多头出场,2024-06-19 18:02,卖,2327.72,1566.2,3639222.32,6452.74,0.18,17870.34,0.49,-7533.42,-0.21,147173.03,7.36
32,多头进场,2024-06-18 23:02,买 ,2323.6,1566.2,3639222.32,6452.74,0.18,17870.34,0.49,-7533.42,-0.21,147173.03,7.36
33,多头出场,2024-06-25 12:02,卖,2323.47,1570.2,3649977.006,-1664.41,-0.05,15984.64,0.44,-5825.44,-0.16,145508.62,7.28
33,多头进场,2024-06-24 14:02,买 ,2324.53,1570.2,3649977.006,-1664.41,-0.05,15984.64,0.44,-5825.44,-0.16,145508.62,7.28
34,多头出场,2024-06-26 19:02,卖,2306.23,1575.1,3647207.054,-14664.18,-0.40,567.04,0.02,-15294.22,-0.42,130844.44,6.54
34,多头进场,2024-06-26 18:02,买 ,2315.54,1575.1,3647207.054,-14664.18,-0.40,567.04,0.02,-15294.22,-0.42,130844.44,6.54
35,多头出场,2024-06-28 10:02,卖,2321.52,1576.1,3622319.108,36628.56,1.01,51491.19,1.42,-2710.89,-0.07,167473,8.37
35,多头进场,2024-06-27 10:02,买 ,2298.28,1576.1,3622319.108,36628.56,1.01,51491.19,1.42,-2710.89,-0.07,167473,8.37
36,多头出场,2024-07-24 19:02,卖,2414.27,1538.2,3684650.426,28979.69,0.79,36609.16,0.99,-10890.46,-0.30,196452.69,9.82
36,多头进场,2024-07-23 03:02,买 ,2395.43,1538.2,3684650.426,28979.69,0.79,36609.16,0.99,-10890.46,-0.30,196452.69,9.82
37,多头出场,2024-07-29 15:02,卖,2390.9,1579.1,3733371.384,42098.81,1.13,61426.99,1.65,-13248.65,-0.35,238551.5,11.93
37,多头进场,2024-07-26 06:02,买 ,2364.24,1579.1,3733371.384,42098.81,1.13,61426.99,1.65,-13248.65,-0.35,238551.5,11.93
