time,open,high,low,close,Volume
2024-06-01T04:00:00+08:00,18553.06,18580.91,18524.16,18540.99,32751
2024-06-03T06:00:00+08:00,18540.99,18559.11,18499.74,18552.74,23874
2024-06-03T08:00:00+08:00,18552.74,18605.49,18551.86,18588.99,27761
2024-06-03T10:00:00+08:00,18588.99,18613.99,18588.11,18602.61,15534
2024-06-03T12:00:00+08:00,18602.61,18617.36,18600.11,18607.99,12748
2024-06-03T14:00:00+08:00,18607.99,18635.74,18583.36,18597.49,37212
2024-06-03T16:00:00+08:00,18597.49,18639.36,18585.49,18627.49,39451
2024-06-03T18:00:00+08:00,18627.49,18651.99,18618.24,18648.99,32803
2024-06-03T20:00:00+08:00,18648.99,18716.260000000002,18613.260000000002,18637.81,126549
2024-06-03T22:00:00+08:00,18637.81,18689.010000000002,18525.390000000003,18565.260000000002,276675
2024-06-04T00:00:00+08:00,18565.260000000002,18579.390000000003,18397.010000000002,18518.010000000002,180169
2024-06-04T02:00:00+08:00,18518.010000000002,18614.640000000003,18487.510000000002,18613.510000000002,133459
2024-06-04T04:00:00+08:00,18613.510000000002,18634.36,18605.11,18623.06,13889
2024-06-04T06:00:00+08:00,18623.06,18631.2,18610.58,18612.08,10500
2024-06-04T08:00:00+08:00,18612.08,18638.58,18611.45,18630.33,20896
2024-06-04T10:00:00+08:00,18630.33,18631.7,18601.45,18615.83,14691
2024-06-04T12:00:00+08:00,18615.83,18620.33,18598.7,18607.95,12712
2024-06-04T14:00:00+08:00,18607.95,18609.2,18528.7,18579.58,37256
2024-06-04T16:00:00+08:00,18579.58,18580.7,18473.08,18504.83,58048
2024-06-04T18:00:00+08:00,18504.83,18559.83,18491.58,18558.33,37448
2024-06-04T20:00:00+08:00,18558.33,18612.980000000003,18524.2,18562.9,107978
2024-06-04T22:00:00+08:00,18562.9,18625.850000000002,18529.980000000003,18547.980000000003,246942
2024-06-05T00:00:00+08:00,18547.980000000003,18614.480000000003,18532.850000000002,18590.600000000002,120626
2024-06-05T02:00:00+08:00,18590.600000000002,18715.100000000002,18586.100000000002,18663.600000000002,182351
2024-06-05T04:00:00+08:00,18663.600000000002,18675.7,18646.33,18667.280000000002,12290
2024-06-05T06:00:00+08:00,18667.280000000002,18703.960000000003,18660.210000000003,18702.33,12502
2024-06-05T08:00:00+08:00,18702.33,18711.960000000003,18680.08,18709.08,22086
2024-06-05T10:00:00+08:00,18709.08,18730.08,18706.83,18722.33,15088
2024-06-05T12:00:00+08:00,18722.33,18727.460000000003,18707.08,18719.460000000003,11399
2024-06-05T14:00:00+08:00,18719.460000000003,18720.960000000003,18667.33,18695.08,28532
2024-06-05T16:00:00+08:00,18695.08,18751.960000000003,18692.460000000003,18751.210000000003,25635
2024-06-05T18:00:00+08:00,18751.210000000003,18779.210000000003,18729.210000000003,18771.960000000003,23772
2024-06-05T20:00:00+08:00,18771.960000000003,18824.11,18742.710000000003,18819.280000000002,95377
2024-06-05T22:00:00+08:00,18819.280000000002,18951.61,18765.030000000002,18929.730000000003,202065
